01	Buttercup Dental	https://www.buttercupdental.com/root-canal
03	Bowcutt Dental	https://www.bowcuttdental.com/services/extract-or-preserve-cedar-park/root-canals/
04	Family Dental of Cedar Park	https://familydentalofcedarpark.com/our-services/root-canal-treatment
05	Cedar Park Premier Dentistry	https://www.cedarparkdental.com/services/general-dentistry/root-canal/
09	Parmer Oaks Dental	https://parmeroaksdental.com/cedar-park-tx/root-canal-treatment/
10	Park Family Dental	https://parkfamilydentist.com/general-dentistry/root-canal-treatment-cedar-park-tx/
11	My Dental Salon	https://mydentalsalon.com/root-canal/
13	Prime Dental of Cedar Park	https://primedentalofcp.com/service/root-canal-therapy-cedar-park-tx/
17	Bell Blvd Family Dental	https://www.bellblvdfamilydental.com/root-canals
18	Cedar Park Modern Dentistry & Orthodontics	https://www.cedarparkmoderndentistry.com/dental-services/root-canal/
19	512 Dentist	https://www.512dentist.com/procedures/restorations/root-canal-therapy/
23	Whitestone Family Dentistry	https://whitestonefamilydentistry.com/services/root-canals/
